ts_ms,sensor_id,valor(s),estado
307605,DHT22_01,66.0|-5.2,OK
310086,DHT22_01,49.5|62.8,OK
312566,DHT22_01,39.5|2.3,OK
315047,DHT22_01,66.0|42.6,OK
317538,DHT22_01,66.0|-8.3,OK
320029,DHT22_01,88.5|0.2,ALERT
322520,DHT22_01,77.5|53.3,ALERT
325011,DHT22_01,66.0|15.0,ALERT
327502,DHT22_01,71.5|-15.8,ALERT
330015,DHT22_01,82.0|-30.6,ALERT
332329,DHT22_01,84.0|42.6,ALERT
334639,DHT22_01,78.5|22.5,ALERT
336950,DHT22_01,84.5|0.2,ALERT
339262,DHT22_01,56.5|0.2,OK
341573,DHT22_01,16.5|18.2,OK
343903,DHT22_01,61.5|10.8,OK
346233,DHT22_01,18.5|59.6,OK
348565,DHT22_01,78.5|59.6,ALERT
350895,DHT22_01,17.5|45.8,OK
353226,DHT22_01,86.5|51.1,ALERT
355556,DHT22_01,86.5|69.2,ALERT
357887,DHT22_01,86.5|69.2,ALERT
360217,DHT22_01,86.5|69.2,ALERT
362548,DHT22_01,74.0|25.6,ALERT
364879,DHT22_01,74.0|46.9,ALERT
367221,DHT22_01,74.0|46.9,ALERT
369561,DHT22_01,37.0|25.6,OK
371902,DHT22_01,37.0|56.4,OK
374243,DHT22_01,37.0|56.4,OK
376585,DHT22_01,37.0|56.4,OK
378925,DHT22_01,37.0|56.4,OK
381266,DHT22_01,37.0|56.4,OK
383617,DHT22_01,64.5|26.7,OK
385968,DHT22_01,41.5|-21.1,OK
388319,DHT22_01,89.0|-21.1,ALERT
390670,DHT22_01,29.0|2.3,OK
393021,DHT22_01,47.5|16.1,OK
395372,DHT22_01,63.5|26.7,OK
397723,DHT22_01,89.0|74.5,ALERT
400083,DHT22_01,100.0|14.0,ALERT
402453,DHT22_01,100.0|14.0,ALERT
404826,DHT22_01,100.0|14.0,ALERT
407197,DHT22_01,100.0|14.0,ALERT
409567,DHT22_01,100.0|14.0,ALERT
411938,DHT22_01,100.0|14.0,ALERT
414309,DHT22_01,100.0|14.0,ALERT
417695,DHT22_01,100.0|14.0,ALERT
420052,DHT22_01,100.0|14.0,ALERT
422413,DHT22_01,100.0|14.0,ALERT
424773,DHT22_01,100.0|14.0,ALERT
427135,DHT22_01,71.5|14.0,ALERT
429496,DHT22_01,32.5|-16.8,OK
431857,DHT22_01,90.0|-16.8,ALERT
434217,DHT22_01,90.0|-16.8,ALERT
436579,DHT22_01,84.5|-16.8,ALERT
438950,DHT22_01,66.0|-0.9,ALERT
441321,DHT22_01,46.0|-32.8,OK
443692,DHT22_01,73.0|-32.8,ALERT
446063,DHT22_01,73.0|-32.8,ALERT
448443,DHT22_01,73.0|-32.8,ALERT
450823,DHT22_01,73.0|-32.8,ALERT
453205,DHT22_01,73.0|56.4,ALERT
455587,DHT22_01,67.0|56.4,ALERT
457977,DHT22_01,21.0|56.4,OK
460369,DHT22_01,67.0|56.4,OK
462759,DHT22_01,67.0|56.4,OK
465151,DHT22_01,67.0|56.4,OK
467542,DHT22_01,67.0|31.0,OK
469932,DHT22_01,16.5|31.0,OK
472343,DHT22_01,91.0|-17.9,ALERT
474735,DHT22_01,74.0|53.3,ALERT
477136,DHT22_01,87.5|70.2,ALERT
479536,DHT22_01,88.5|39.4,ALERT
481937,DHT22_01,92.5|51.1,ALERT
484339,DHT22_01,71.5|41.6,ALERT
486740,DHT22_01,36.0|5.5,OK
489141,DHT22_01,82.0|47.9,ALERT
491552,DHT22_01,82.0|51.1,ALERT
493963,DHT22_01,68.0|62.8,ALERT
496383,DHT22_01,67.0|62.8,ALERT
498803,DHT22_01,86.5|62.8,ALERT
501223,DHT22_01,86.5|62.8,ALERT
503647,DHT22_01,86.5|62.8,ALERT
506067,DHT22_01,86.5|62.8,ALERT
508488,DHT22_01,86.5|62.8,ALERT
510909,DHT22_01,86.5|62.8,ALERT
513340,DHT22_01,86.5|62.8,ALERT
515771,DHT22_01,86.5|62.8,ALERT
518202,DHT22_01,86.5|62.8,ALERT
520633,DHT22_01,86.5|61.7,ALERT
523065,DHT22_01,79.5|33.1,ALERT
525495,DHT22_01,94.5|12.9,ALERT
527926,DHT22_01,82.0|16.1,ALERT
530367,DHT22_01,85.5|55.4,ALERT
532809,DHT22_01,85.5|38.4,ALERT
535250,DHT22_01,85.5|38.4,ALERT
537691,DHT22_01,63.5|38.4,OK
540131,DHT22_01,63.5|38.4,OK
542572,DHT22_01,63.5|38.4,OK
545024,DHT22_01,63.5|38.4,OK
547474,DHT22_01,63.5|38.4,OK
549934,DHT22_01,63.5|38.4,OK
552396,DHT22_01,63.5|38.4,OK
554857,DHT22_01,69.5|38.4,OK
557317,DHT22_01,68.0|38.4,OK
560796,DHT22_01,68.0|-2.0,OK
563239,DHT22_01,68.0|-2.0,OK
565681,DHT22_01,68.0|-2.0,OK
568131,DHT22_01,68.0|-2.0,OK
570582,DHT22_01,68.0|-2.0,OK
573033,DHT22_01,59.0|3.3,OK
575483,DHT22_01,59.0|40.5,OK
577935,DHT22_01,59.0|40.5,OK
580386,DHT22_01,26.5|-0.9,OK
582837,DHT22_01,92.0|62.8,ALERT
585287,DHT22_01,65.5|17.1,ALERT
587739,DHT22_01,65.5|17.1,ALERT
590200,DHT22_01,50.0|17.1,OK
592661,DHT22_01,69.0|17.1,OK
595122,DHT22_01,69.0|17.1,OK
597583,DHT22_01,67.0|17.1,OK
600054,DHT22_01,67.0|17.1,OK
602524,DHT22_01,67.0|62.8,OK
604994,DHT22_01,67.0|62.8,OK
607466,DHT22_01,67.0|21.4,OK
609947,DHT22_01,67.0|-11.5,OK
612428,DHT22_01,67.0|36.3,OK
614909,DHT22_01,67.0|63.9,OK
617389,DHT22_01,42.5|63.9,OK
619871,DHT22_01,78.5|63.9,ALERT
622442,DHT22_01,37.0|63.9,OK
624922,DHT22_01,64.5|63.9,OK
627413,DHT22_01,64.5|63.9,OK
629904,DHT22_01,67.0|63.9,OK
632395,DHT22_01,67.0|4.4,OK
634886,DHT22_01,67.0|4.4,OK
637377,DHT22_01,67.0|61.7,OK
639868,DHT22_01,67.0|1.2,OK
642359,DHT22_01,77.0|34.1,ALERT
644849,DHT22_01,77.0|28.8,ALERT
647351,DHT22_01,77.0|28.8,ALERT
649851,DHT22_01,77.0|28.8,ALERT
652375,DHT22_01,62.5|28.8,OK
654688,DHT22_01,81.0|28.8,ALERT
657009,DHT22_01,81.0|28.8,ALERT
659330,DHT22_01,81.0|28.8,ALERT
661652,DHT22_01,81.0|28.8,ALERT
663973,DHT22_01,81.0|28.8,ALERT
666303,DHT22_01,81.0|28.8,ALERT
668633,DHT22_01,81.0|28.8,ALERT
670965,DHT22_01,81.0|28.8,ALERT
673295,DHT22_01,81.0|28.8,ALERT
675635,DHT22_01,50.0|28.8,OK
677976,DHT22_01,66.0|28.8,OK
680317,DHT22_01,66.0|28.8,OK
682657,DHT22_01,66.0|49.0,OK
684998,DHT22_01,51.0|49.0,OK
687339,DHT22_01,70.5|11.8,ALERT
689680,DHT22_01,70.5|11.8,ALERT
692021,DHT22_01,70.5|11.8,ALERT
694362,DHT22_01,76.0|11.8,ALERT
696703,DHT22_01,23.0|11.8,OK
699055,DHT22_01,23.0|11.8,OK
701405,DHT22_01,81.0|73.4,ALERT
704775,DHT22_01,49.5|1.2,OK
707107,DHT22_01,66.0|1.2,OK
709438,DHT22_01,66.0|1.2,OK
711789,DHT22_01,66.0|1.2,OK
714120,DHT22_01,66.0|1.2,OK
716461,DHT22_01,66.0|1.2,OK
718802,DHT22_01,66.0|1.2,OK
721143,DHT22_01,66.0|1.2,OK
723494,DHT22_01,66.0|29.9,OK
725843,DHT22_01,46.5|38.4,OK
728193,DHT22_01,77.5|38.4,ALERT
730545,DHT22_01,100.0|38.4,ALERT
732897,DHT22_01,100.0|4.4,ALERT
735248,DHT22_01,100.0|70.2,ALERT
737608,DHT22_01,100.0|40.5,ALERT
739969,DHT22_01,100.0|22.5,ALERT
742331,DHT22_01,100.0|22.5,ALERT
744692,DHT22_01,100.0|57.5,ALERT
747053,DHT22_01,100.0|57.5,ALERT
749414,DHT22_01,73.0|57.5,ALERT
751775,DHT22_01,73.0|57.5,ALERT
754146,DHT22_01,73.0|57.5,ALERT
756517,DHT22_01,44.0|57.5,OK
758888,DHT22_01,44.0|57.5,OK
761259,DHT22_01,60.0|57.5,OK
763630,DHT22_01,64.5|57.5,OK
766001,DHT22_01,64.5|57.5,OK
768372,DHT22_01,64.5|57.5,OK
770743,DHT22_01,64.5|57.5,OK
773133,DHT22_01,74.0|57.5,ALERT
775523,DHT22_01,70.5|57.5,ALERT
777916,DHT22_01,47.5|57.5,OK
780307,DHT22_01,66.0|57.5,OK
782698,DHT22_01,66.0|57.5,OK
785088,DHT22_01,66.0|21.4,OK
787479,DHT22_01,66.0|66.0,OK
789869,DHT22_01,66.0|44.8,OK
792271,DHT22_01,66.0|70.2,OK
794672,DHT22_01,66.0|35.2,OK
797073,DHT22_01,66.0|35.2,OK
799474,DHT22_01,66.0|35.2,OK
801875,DHT22_01,66.0|56.4,OK
804276,DHT22_01,66.0|-9.4,OK
806677,DHT22_01,66.0|49.0,OK
809077,DHT22_01,66.0|49.0,OK
811488,DHT22_01,66.0|49.0,OK
813899,DHT22_01,66.0|49.0,OK
816310,DHT22_01,66.0|66.0,OK
818721,DHT22_01,66.0|66.0,OK
821132,DHT22_01,66.0|9.7,OK
823544,DHT22_01,66.0|34.1,OK
825964,DHT22_01,66.0|53.3,OK
828384,DHT22_01,66.0|-0.9,OK
830816,DHT22_01,66.0|-0.9,OK
833246,DHT22_01,92.0|-0.9,ALERT
835677,DHT22_01,92.0|-0.9,ALERT
838108,DHT22_01,92.0|-0.9,ALERT
840539,DHT22_01,68.0|39.4,ALERT
842970,DHT22_01,68.0|39.4,ALERT
846425,DHT22_01,63.5|39.4,OK
848842,DHT22_01,70.5|39.4,ALERT
851263,DHT22_01,55.5|39.4,OK
853684,DHT22_01,62.5|39.4,OK
856105,DHT22_01,59.0|39.4,OK
858526,DHT22_01,43.0|39.4,OK
860947,DHT22_01,43.0|39.4,OK
863368,DHT22_01,43.0|39.4,OK
865789,DHT22_01,43.0|39.4,OK
868220,DHT22_01,43.0|39.4,OK
870651,DHT22_01,43.0|39.4,OK
873082,DHT22_01,43.0|39.4,OK
875513,DHT22_01,43.0|39.4,OK
877953,DHT22_01,43.0|39.4,OK
880393,DHT22_01,43.0|39.4,OK
882833,DHT22_01,43.0|39.4,OK
885276,DHT22_01,43.0|39.4,OK
887727,DHT22_01,43.0|39.4,OK
890177,DHT22_01,43.0|39.4,OK
892628,DHT22_01,43.0|39.4,OK
895079,DHT22_01,43.0|39.4,OK
897531,DHT22_01,43.0|39.4,OK
899981,DHT22_01,43.0|39.4,OK
902432,DHT22_01,87.5|39.4,ALERT
904883,DHT22_01,87.5|39.4,ALERT
907345,DHT22_01,87.5|39.4,ALERT
909806,DHT22_01,87.5|39.4,ALERT
912267,DHT22_01,87.5|39.4,ALERT
914727,DHT22_01,38.0|39.4,OK
917188,DHT22_01,38.0|39.4,OK
919649,DHT22_01,38.0|39.4,OK
922110,DHT22_01,77.0|-4.1,ALERT
924571,DHT22_01,77.0|76.6,ALERT
927042,DHT22_01,77.0|23.5,ALERT
929523,DHT22_01,77.0|23.5,ALERT
932004,DHT22_01,63.5|23.5,OK
934484,DHT22_01,67.0|23.5,OK
936966,DHT22_01,67.0|23.5,OK
939447,DHT22_01,67.0|52.2,OK
941928,DHT22_01,67.0|52.2,OK
944408,DHT22_01,67.0|52.2,OK
946899,DHT22_01,67.0|52.2,OK
949411,DHT22_01,67.0|52.2,OK
951902,DHT22_01,67.0|52.2,OK
954392,DHT22_01,67.0|52.2,OK
956883,DHT22_01,67.0|38.4,OK
959374,DHT22_01,67.0|68.1,OK
961865,DHT22_01,92.5|68.1,ALERT
964356,DHT22_01,37.0|68.1,OK
966857,DHT22_01,84.0|68.1,ALERT
969357,DHT22_01,84.0|68.1,ALERT
971859,DHT22_01,84.0|68.1,ALERT
974360,DHT22_01,84.0|68.1,ALERT
976861,DHT22_01,84.0|68.1,ALERT
979362,DHT22_01,84.0|68.1,ALERT
981885,DHT22_01,84.0|68.1,ALERT
984208,DHT22_01,84.0|68.1,ALERT
986529,DHT22_01,84.0|68.1,ALERT
988850,DHT22_01,84.0|68.1,ALERT
992195,DHT22_01,84.0|68.1,ALERT
994503,DHT22_01,84.0|23.5,ALERT
996823,DHT22_01,84.0|23.5,ALERT
999143,DHT22_01,84.0|45.8,ALERT
1001465,DHT22_01,84.0|1.2,ALERT
1003785,DHT22_01,84.0|1.2,ALERT
1006105,DHT22_01,84.0|1.2,ALERT
1008425,DHT22_01,84.0|1.2,ALERT
1010747,DHT22_01,81.0|46.9,ALERT
1013067,DHT22_01,81.0|46.9,ALERT
1015388,DHT22_01,81.0|46.9,ALERT
1017719,DHT22_01,81.0|46.9,ALERT
1020051,DHT22_01,81.0|46.9,ALERT
1022382,DHT22_01,81.0|46.9,ALERT
1024713,DHT22_01,81.0|46.9,ALERT
1027043,DHT22_01,58.0|26.7,OK
1029375,DHT22_01,77.0|26.7,ALERT
1031706,DHT22_01,100.0|26.7,ALERT
1034047,DHT22_01,100.0|26.7,ALERT
1036388,DHT22_01,100.0|26.7,ALERT
1038729,DHT22_01,100.0|26.7,ALERT
1041071,DHT22_01,100.0|26.7,ALERT
1043412,DHT22_01,100.0|26.7,ALERT
1045753,DHT22_01,100.0|26.7,ALERT
1048104,DHT22_01,100.0|26.7,ALERT
1050464,DHT22_01,100.0|26.7,ALERT
1052826,DHT22_01,74.0|26.7,ALERT
1055187,DHT22_01,74.0|26.7,ALERT
1057547,DHT22_01,74.0|26.7,ALERT
1059908,DHT22_01,74.0|26.7,ALERT
1062269,DHT22_01,58.0|26.7,OK
1064631,DHT22_01,58.0|26.7,OK
1066991,DHT22_01,58.0|26.7,OK
1069362,DHT22_01,58.0|26.7,OK
1071733,DHT22_01,58.0|9.7,OK
1074105,DHT22_01,58.0|9.7,OK
1076475,DHT22_01,58.0|9.7,OK
1078846,DHT22_01,58.0|9.7,OK
1081217,DHT22_01,58.0|9.7,OK
1083588,DHT22_01,58.0|18.2,OK
1085959,DHT22_01,70.5|26.7,ALERT
1088340,DHT22_01,27.0|26.7,OK
1090721,DHT22_01,9.5|26.7,OK
1093102,DHT22_01,20.0|26.7,OK
1095483,DHT22_01,24.5|26.7,OK
1097873,DHT22_01,15.0|26.7,OK
1100263,DHT22_01,30.0|26.7,OK
1102656,DHT22_01,87.5|26.7,ALERT
1105057,DHT22_01,43.0|26.7,OK
1107457,DHT22_01,62.5|26.7,OK
1109858,DHT22_01,66.0|26.7,OK
1112259,DHT22_01,69.0|26.7,OK
1114661,DHT22_01,69.5|26.7,OK
1117062,DHT22_01,67.0|26.7,OK
1119462,DHT22_01,72.5|26.7,ALERT
1121863,DHT22_01,72.5|26.7,ALERT
1124275,DHT22_01,82.0|26.7,ALERT
1126685,DHT22_01,56.5|26.7,OK
1129096,DHT22_01,56.5|26.7,OK
1132525,DHT22_01,56.5|26.7,OK
1134918,DHT22_01,56.5|26.7,OK
1137309,DHT22_01,56.5|26.7,OK
1139700,DHT22_01,56.5|26.7,OK
1142091,DHT22_01,56.5|26.7,OK
1144492,DHT22_01,56.5|26.7,OK
1146893,DHT22_01,82.0|26.7,ALERT
1149303,DHT22_01,82.0|26.7,ALERT
1151713,DHT22_01,82.0|71.3,ALERT
1154126,DHT22_01,65.5|7.6,ALERT
1156537,DHT22_01,65.5|7.6,ALERT
1158947,DHT22_01,86.5|7.6,ALERT
1161358,DHT22_01,86.5|7.6,ALERT
1163779,DHT22_01,86.5|7.6,ALERT
1166201,DHT22_01,86.5|7.6,ALERT
1168622,DHT22_01,86.5|7.6,ALERT
1171043,DHT22_01,86.5|7.6,ALERT
1173463,DHT22_01,86.5|7.6,ALERT
1175885,DHT22_01,86.5|7.6,ALERT
1178316,DHT22_01,96.5|7.6,ALERT
1180747,DHT22_01,96.5|21.4,ALERT
1183198,DHT22_01,76.0|21.4,ALERT
1185629,DHT22_01,76.0|21.4,ALERT
1188060,DHT22_01,85.5|17.1,ALERT
1190491,DHT22_01,81.0|33.1,ALERT
1192922,DHT22_01,77.5|23.5,ALERT
1195363,DHT22_01,87.5|69.2,ALERT
1197814,DHT22_01,24.5|69.2,OK
1200263,DHT22_01,54.5|69.2,OK
1202716,DHT22_01,100.0|69.2,ALERT
1205167,DHT22_01,56.5|69.2,OK
1207618,DHT22_01,28.0|69.2,OK
1210069,DHT22_01,44.0|69.2,OK
