ts_ms,sensor_id,valor(s),estado
26375,DHT22_01,8.5|80.0,OK
467542,DHT22_01,67.0|31.0,OK
469932,DHT22_01,16.5|31.0,OK
486740,DHT22_01,36.0|5.5,OK
537691,DHT22_01,63.5|38.4,OK
540131,DHT22_01,63.5|38.4,OK
542572,DHT22_01,63.5|38.4,OK
545024,DHT22_01,63.5|38.4,OK
547474,DHT22_01,63.5|38.4,OK
549934,DHT22_01,63.5|38.4,OK
552396,DHT22_01,63.5|38.4,OK
554857,DHT22_01,69.5|38.4,OK
557317,DHT22_01,68.0|38.4,OK
560796,DHT22_01,68.0|-2.0,OK
563239,DHT22_01,68.0|-2.0,OK
565681,DHT22_01,68.0|-2.0,OK
568131,DHT22_01,68.0|-2.0,OK
570582,DHT22_01,68.0|-2.0,OK
573033,DHT22_01,59.0|3.3,OK
575483,DHT22_01,59.0|40.5,OK
577935,DHT22_01,59.0|40.5,OK
580386,DHT22_01,26.5|-0.9,OK
590200,DHT22_01,50.0|17.1,OK
592661,DHT22_01,69.0|17.1,OK
595122,DHT22_01,69.0|17.1,OK
597583,DHT22_01,67.0|17.1,OK
600054,DHT22_01,67.0|17.1,OK
602524,DHT22_01,67.0|62.8,OK
604994,DHT22_01,67.0|62.8,OK
607466,DHT22_01,67.0|21.4,OK
609947,DHT22_01,67.0|-11.5,OK
612428,DHT22_01,67.0|36.3,OK
614909,DHT22_01,67.0|63.9,OK
617389,DHT22_01,42.5|63.9,OK
622442,DHT22_01,37.0|63.9,OK
624922,DHT22_01,64.5|63.9,OK
627413,DHT22_01,64.5|63.9,OK
629904,DHT22_01,67.0|63.9,OK
632395,DHT22_01,67.0|4.4,OK
634886,DHT22_01,67.0|4.4,OK
637377,DHT22_01,67.0|61.7,OK
639868,DHT22_01,67.0|1.2,OK
652375,DHT22_01,62.5|28.8,OK
675635,DHT22_01,50.0|28.8,OK
677976,DHT22_01,66.0|28.8,OK
680317,DHT22_01,66.0|28.8,OK
682657,DHT22_01,66.0|49.0,OK
684998,DHT22_01,51.0|49.0,OK
696703,DHT22_01,23.0|11.8,OK
699055,DHT22_01,23.0|11.8,OK
704775,DHT22_01,49.5|1.2,OK
707107,DHT22_01,66.0|1.2,OK
709438,DHT22_01,66.0|1.2,OK
711789,DHT22_01,66.0|1.2,OK
714120,DHT22_01,66.0|1.2,OK
716461,DHT22_01,66.0|1.2,OK
718802,DHT22_01,66.0|1.2,OK
721143,DHT22_01,66.0|1.2,OK
723494,DHT22_01,66.0|29.9,OK
725843,DHT22_01,46.5|38.4,OK
756517,DHT22_01,44.0|57.5,OK
758888,DHT22_01,44.0|57.5,OK
761259,DHT22_01,60.0|57.5,OK
763630,DHT22_01,64.5|57.5,OK
766001,DHT22_01,64.5|57.5,OK
768372,DHT22_01,64.5|57.5,OK
770743,DHT22_01,64.5|57.5,OK
777916,DHT22_01,47.5|57.5,OK
780307,DHT22_01,66.0|57.5,OK
782698,DHT22_01,66.0|57.5,OK
785088,DHT22_01,66.0|21.4,OK
787479,DHT22_01,66.0|66.0,OK
789869,DHT22_01,66.0|44.8,OK
792271,DHT22_01,66.0|70.2,OK
794672,DHT22_01,66.0|35.2,OK
797073,DHT22_01,66.0|35.2,OK
799474,DHT22_01,66.0|35.2,OK
801875,DHT22_01,66.0|56.4,OK
804276,DHT22_01,66.0|-9.4,OK
806677,DHT22_01,66.0|49.0,OK
809077,DHT22_01,66.0|49.0,OK
811488,DHT22_01,66.0|49.0,OK
813899,DHT22_01,66.0|49.0,OK
816310,DHT22_01,66.0|66.0,OK
818721,DHT22_01,66.0|66.0,OK
821132,DHT22_01,66.0|9.7,OK
823544,DHT22_01,66.0|34.1,OK
825964,DHT22_01,66.0|53.3,OK
828384,DHT22_01,66.0|-0.9,OK
830816,DHT22_01,66.0|-0.9,OK
846425,DHT22_01,63.5|39.4,OK
851263,DHT22_01,55.5|39.4,OK
853684,DHT22_01,62.5|39.4,OK
856105,DHT22_01,59.0|39.4,OK
858526,DHT22_01,43.0|39.4,OK
860947,DHT22_01,43.0|39.4,OK
863368,DHT22_01,43.0|39.4,OK
865789,DHT22_01,43.0|39.4,OK
868220,DHT22_01,43.0|39.4,OK
870651,DHT22_01,43.0|39.4,OK
873082,DHT22_01,43.0|39.4,OK
875513,DHT22_01,43.0|39.4,OK
877953,DHT22_01,43.0|39.4,OK
880393,DHT22_01,43.0|39.4,OK
882833,DHT22_01,43.0|39.4,OK
885276,DHT22_01,43.0|39.4,OK
887727,DHT22_01,43.0|39.4,OK
890177,DHT22_01,43.0|39.4,OK
892628,DHT22_01,43.0|39.4,OK
895079,DHT22_01,43.0|39.4,OK
897531,DHT22_01,43.0|39.4,OK
899981,DHT22_01,43.0|39.4,OK
914727,DHT22_01,38.0|39.4,OK
917188,DHT22_01,38.0|39.4,OK
919649,DHT22_01,38.0|39.4,OK
932004,DHT22_01,63.5|23.5,OK
934484,DHT22_01,67.0|23.5,OK
936966,DHT22_01,67.0|23.5,OK
939447,DHT22_01,67.0|52.2,OK
941928,DHT22_01,67.0|52.2,OK
944408,DHT22_01,67.0|52.2,OK
946899,DHT22_01,67.0|52.2,OK
949411,DHT22_01,67.0|52.2,OK
951902,DHT22_01,67.0|52.2,OK
954392,DHT22_01,67.0|52.2,OK
956883,DHT22_01,67.0|38.4,OK
959374,DHT22_01,67.0|68.1,OK
964356,DHT22_01,37.0|68.1,OK
1027043,DHT22_01,58.0|26.7,OK
1062269,DHT22_01,58.0|26.7,OK
1064631,DHT22_01,58.0|26.7,OK
1066991,DHT22_01,58.0|26.7,OK
1069362,DHT22_01,58.0|26.7,OK
1071733,DHT22_01,58.0|9.7,OK
1074105,DHT22_01,58.0|9.7,OK
1076475,DHT22_01,58.0|9.7,OK
1078846,DHT22_01,58.0|9.7,OK
1081217,DHT22_01,58.0|9.7,OK
1083588,DHT22_01,58.0|18.2,OK
1088340,DHT22_01,27.0|26.7,OK
1090721,DHT22_01,9.5|26.7,OK
1093102,DHT22_01,20.0|26.7,OK
1095483,DHT22_01,24.5|26.7,OK
1097873,DHT22_01,15.0|26.7,OK
1100263,DHT22_01,30.0|26.7,OK
1105057,DHT22_01,43.0|26.7,OK
1107457,DHT22_01,62.5|26.7,OK
1109858,DHT22_01,66.0|26.7,OK
1112259,DHT22_01,69.0|26.7,OK
1114661,DHT22_01,69.5|26.7,OK
1117062,DHT22_01,67.0|26.7,OK
1126685,DHT22_01,56.5|26.7,OK
1129096,DHT22_01,56.5|26.7,OK
1132525,DHT22_01,56.5|26.7,OK
1134918,DHT22_01,56.5|26.7,OK
1137309,DHT22_01,56.5|26.7,OK
1139700,DHT22_01,56.5|26.7,OK
1142091,DHT22_01,56.5|26.7,OK
1144492,DHT22_01,56.5|26.7,OK
1197814,DHT22_01,24.5|69.2,OK
1200263,DHT22_01,54.5|69.2,OK
1205167,DHT22_01,56.5|69.2,OK
1207618,DHT22_01,28.0|69.2,OK
1210069,DHT22_01,44.0|69.2,OK
